"";"title";"author";"journal";"number";"cites";"year";"cid";"pubid"
"91";"Prediction of the antioxidant capacity of maize (Zea mays) hybrids using mass fingerprinting and data mining";"JM Montero-Vargas, S Ortíz-Islas, O Ramírez-Sánchez, S García-Lara, ...";"Food Bioscience";"37, 100647";1;2020;"14817972059526376210";"evX43VCCuoAC"
"92";"Modulation of aleurone peroxidases in kernels of insect-resistant maize (Zea mays L.; Pob84-C3R) after mechanical and insect damage";"LM López-Castillo, A González-Leyzaola, MF Diaz-Flores-Rivera, ...";"Frontiers in plant science";"11, 781";1;2020;"1183516971805081437";"tKAzc9rXhukC"
"93";"Distinct gene expression and secondary metabolite profiles in suppressor of prosystemin-mediated responses2 (spr2) tomato mutants having impaired mycorrhizal colonization";"K Casarrubias-Castillo, JM Montero-Vargas, N Dabdoub-González, ...";"PeerJ";"8, e8888";1;2020;"695783668678601688";"Fu2w8maKXqMC"
"94";"Low-Temperature Plasma Ionization";"S Martínez-Jarquín, R Winkler";"Ambient Mass Spectroscopy Techniques in Food and the Environment";"105-124";1;2019;"752539508954494341";"t6usbXjVLHcC"
"95";"Formatting Open Science: agile creation of multiple document types by writing academic manuscripts in pandoc markdown";"A Krewinkel, R Winkler";"";"";1;2016;"15290997831557878840";"epqYDVWIO7EC"
"96";"Lysine‐directed staining of proteins for MS‐based analyses";"MT Yasui, MA Mata‐Gómez, R Winkler";"Electrophoresis";"34 (3), 401-404";1;2013;"18396620570060622732";"QIV2ME_5wuYC"
"97";"Análisis de productos alimentarios mediante plasma de baja temperatura";"S Martínez-Jarquín, R Winkler";"Ide@s CONCYTEG";"8 (97), 728-735";1;2013;"17158739302691215396";"zA6iFVUQeVQC"
"98";"Evaluating the physiological state of maize (Zea mays L.) plants by direct-injection electrospray mass spectrometry (DIESI-MS) w";"M Garcıa-Flores, S Juarez-Colunga, JM Montero-Vargas, ...";"Mol. BioSyst";"8, 1658-1660";1;2012;"12685754919277961369";"AvfA0Oy_GE0C"
"99";"Vigilancia De Los Riesgos Microbianos En La Producción De Alimentos Frescos";"R Winkler";"Vigilancia De Los Riesgos Microbianos En La Producción De Alimentos Frescos";"55";1;2011;"14948533456078466587";"dhFuZR0502QC"
"100";"Characterisation of the hypoxic response of the human-pathogenic fungus Aspergillus fumigatus by 2D-gel electrophoresis";"M Voedisch, K Scherlach, R Winkler, C Hertweck, U Horn, AA Brakhage, ...";"Infection";"37, 19-19";1;2009;"17331302694887947505";"qUcmZB5y_30C"
